name,links,playlist_uris,user
Indie/Pop/Folk Compilation - December 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/2HnelmYapr9MSQN4coMskP,2HnelmYapr9MSQN4coMskP,alexrainbirdMusic
Indie/Indie-Folk Compilation - Winter 2020 ❄️ (alexrainbirdMusic),https://open.spotify.com/playlist/2y6Hy3xmIjOn3guvqgkXjD,2y6Hy3xmIjOn3guvqgkXjD,alexrainbirdMusic
Warm & Cozy ✨ - A Folk/Acoustic/Chill Playlist,https://open.spotify.com/playlist/5JLqwHGIVadiIrLf5yc60S,5JLqwHGIVadiIrLf5yc60S,alexrainbirdMusic
Indie/Rock/Alt Compilation - November 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/4kxJqLu5NJsvIYolzu6iG4,4kxJqLu5NJsvIYolzu6iG4,alexrainbirdMusic
Indie/Pop/Folk Compilation - November 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/5wd9qYX1dV5ASiM7Dohe7D,5wd9qYX1dV5ASiM7Dohe7D,alexrainbirdMusic
Dark Forest 🦇 - An Indie/Folk/Alternative Playlist | Vol. 3 (Halloween 2020),https://open.spotify.com/playlist/4yU5ogp9DKEeXScpy1e5qs,4yU5ogp9DKEeXScpy1e5qs,alexrainbirdMusic
Cozy Coffeehouse ☕ - An Indie/Folk/Acoustic Playlist | Vol. 3,https://open.spotify.com/playlist/3vA1HuzHI1n6BEOsUJN6se,3vA1HuzHI1n6BEOsUJN6se,alexrainbirdMusic
Indie/Rock/Alt Compilation - October 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/1GCa4zLts2ZVKEFNhINErt,1GCa4zLts2ZVKEFNhINErt,alexrainbirdMusic
Indie/Pop/Folk Compilation - October 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/00dnn7sJPYGX7BDafsQElI,00dnn7sJPYGX7BDafsQElI,alexrainbirdMusic
Best of alexrainbirdMusic // Vol. 7 (900k Subscribers Playlist) 🎉,https://open.spotify.com/playlist/4mkkpyVYoISJViGbYzsl1j,4mkkpyVYoISJViGbYzsl1j,alexrainbirdMusic
Indie/Indie-Folk Compilation - Autumn/Fall 2020 🍂 (alexrainbirdMusic),https://open.spotify.com/playlist/4tNCkv6UXneJJ7olL5CQk6,4tNCkv6UXneJJ7olL5CQk6,alexrainbirdMusic
Indie/Rock/Alt Compilation - September 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/3Hubux1u6T8GL9D1ipoFa9,3Hubux1u6T8GL9D1ipoFa9,alexrainbirdMusic
Indie/Pop/Folk Compilation - September 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/6v8ZL3XcAOrbHODU3NNEBe,6v8ZL3XcAOrbHODU3NNEBe,alexrainbirdMusic
RUNNING WILD 🏃 - An Indie/Pop/Rock/Folk Workout Playlist,https://open.spotify.com/playlist/1TAx0s7pltudjCX39itRXB,1TAx0s7pltudjCX39itRXB,alexrainbirdMusic
Indie/Rock/Alt Compilation - August 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/4Acp2UqyH8gbp6zURP8kOQ,4Acp2UqyH8gbp6zURP8kOQ,alexrainbirdMusic
Indie/Pop/Folk Compilation - August 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/6AlZh0aXWU18nMUhfBCYyS,6AlZh0aXWU18nMUhfBCYyS,alexrainbirdMusic
Road Trip 🚐 - An Indie/Pop/Rock Playlist | Vol. 3,https://open.spotify.com/playlist/0K5KxvzCGqTkd47QfVfT9f,0K5KxvzCGqTkd47QfVfT9f,alexrainbirdMusic
The Mountains Are Calling ⛰️ - An Indie/Folk/Pop Playlist,https://open.spotify.com/playlist/1Q9m98oZjlxL62FWI0ZGCb,1Q9m98oZjlxL62FWI0ZGCb,alexrainbirdMusic
